TY,Artist 1,Song Title,Category,LY,WOC,Weeks at No.1,Score,Tempo,Year,Gender,,,,,,Last Played
238,Fats Domino,Blueberry Hill,B,328,,,75,3,1980,M,,,,,,25/04/2026 09:26
239,Gerry & The Pacemakers,Ferry Across The Mersey,B,452,,,75,3,1981,Group,,,,,,25/04/2026 07:52
240,Prince,Purple Rain,B,202,,,75,3,1981,M,,,,,,
241,Ed Sheeran,Photograph,B,76,,,75,3,1981,M,,,,,,
242,Luther Vandross,Dance With My Father,B,167,,,75,3,1981,M,,,,,,24/04/2026 22:49
243,Eric Clapton,Wonderful Tonight,B,261,,,75,3,1981,M,,,,,,
244,Etta James,At Last,B,689,,,75,3,1982,M,,,,,,
245,Josh Groban,You Raise Me Up,B,2172,,,75,3,1982,M,,,,,,
246,Celine Dion,I'm Alive,B,362,,,75,3,1982,M,,,,,,25/04/2026 08:05
247,Andy Williams,Moon River,B,734,,,75,3,1982,M,,,,,,
248,Alex Warren,Bloodline,B,NE,,,75,3,1982,M,,,,,,25/04/2026 07:39
249,Adele,Someone Like You,B,104,,,75,3,1983,F,,,,,,25/04/2026 07:36
250,Celine Dion,Think Twice,B,276,,,75,3,1983,M,,,,,,25/04/2026 07:41
251,Doris Day,Secret Love,B,181,,,75,3,1983,M,,,,,,
252,Art Garfunkel,Bright Eyes,B,522,,,75,3,1983,M,,,,,,25/04/2026 09:11
253,Wings,Mull Of Kintyre,B,1311,,,75,3,1983,M,,,,,,25/04/2026 07:41
254,Lewis Capaldi,Survive,B,NE,,,75,3,1983,M,,,,,,25/04/2026 07:46
255,Wham!,Wake Me Up Before You Go Go,B,53,,,75,3,1984,M,,,,,,
256,Beatles,All You Need Is Love,B,NE,,,75,3,1984,M,,,,,,
257,Ace Of Base,All That She Wants,B,NE,,,75,3,1984,M,,,,,,25/04/2026 08:09
258,Abba,Fernando,B,1346,,,75,3,1984,Group,,,,,,25/04/2026 08:33
259,Gabrielle,Dreams,B,796,,,75,3,1985,M,,,,,,
260,Beatles,Ticket To Ride,B,NE,,,75,3,1985,M,,,,,,25/04/2026 07:39
261,Backstreet Boys,I Want It That Way,B,535,,,75,3,1985,M,,,,,,25/04/2026 07:41
262,Enya,Orinoco Flow,B,396,,,75,3,1985,M,,,,,,25/04/2026 08:49
263,Lonnie Donegan,My Old Man's A Dustman,B,820,,,75,3,1985,M,,,,,,24/04/2026 23:10
264,Elvis Presley,Way Down,B,231,,,75,3,1986,M,,,,,,24/04/2026 23:17
265,Beatles,Day Tripper,B,NE,,,75,3,1986,M,,,,,,
266,Abba,The Name Of The Game,B,NE,,,75,3,1986,Group,,,,,,24/04/2026 23:38
267,George Michael,A Different Corner,B,832,,,75,3,1986,M,,,,,,
268,Don McLean,American Pie,B,233,,,75,3,1986,M,,,,,,25/04/2026 07:39
269,Ace Of Base,The Sign,B,NE,,,75,3,1987,M,,,,,,
270,B-52's,Love Shack,B,857,,,75,3,1987,M,,,,,,
271,Dean Martin,That's Amore,B,84,,,75,3,1987,M,,,,,,25/04/2026 07:39
272,Phil Collins,Another Day In Paradise,B,871,,,75,3,1987,M,,,,,,25/04/2026 07:56
273,Queen,Somebody To Love,B,873,,,75,3,1987,Group,,,,,,
274,Killers,Human,B,NE,,,75,3,1988,M,,,,,,
275,Billy Fury,Halfway To Paradise,B,581,,,75,3,1988,M,,,,,,
276,Leona Lewis,One More Sleep,B,314,,,75,3,1988,M,,,,,,
277,Bon Jovi,It's My Life,B,317,,,75,3,1989,Group,,,,,,
278,David Bowie,Life On Mars?,B,589,,,75,3,1989,M,,,,,,25/04/2026 07:44
279,Queen,A Kind Of Magic,B,318,,,75,3,1990,Group,,,,,,25/04/2026 08:52
280,Bob Marley,Sun Is Shining,B,1626,,,75,3,1990,M,,,,,,25/04/2026 09:25
281,Chappell Roan,Hot To Go,B,NE,,,75,3,1990,M,,,,,,24/04/2026 22:59
282,Tracy Chapman,Fast Car,B,96,,,75,3,1991,M,,,,,,24/04/2026 23:30
283,Johnny Cash,A Boy Named Sue,B,428,,,75,3,1991,M,,,,,,24/04/2026 22:49
284,Bee Gees,Stayin' Alive,B,603,,,75,4,1992,Group,,,,,,25/04/2026 07:44
285,Dire Straits,Money For Nothing,B,245,,,75,3,1992,Group,,,,,,
286,UB40,Kingston Town,B,431,,,75,3,1994,M,,,,,,25/04/2026 09:12
287,Coldplay,Yellow,B,32,,,75,3,1994,Group,,,,,,
288,Buddy Holly,Rave On,B,944,,,75,3,1995,M,,,,,,
289,Bob Marley,Could You Be Loved,B,248,,,75,3,1995,M,,,,,,
290,Journey,Don't Stop Believin',B,440,,,75,4,1995,Group,,,,,,25/04/2026 07:41
291,Buddy Holly,Peggy Sue,B,326,,,75,3,1996,M,,,,,,25/04/2026 08:47
292,Diana Ross,Endless Love,B,NE,,,75,3,1996,F,,,,,,25/04/2026 08:46
293,Roy Orbison,I Drove All Night,B,984,,,75,3,1998,M,,,,,,
294,Elvis Presley,Burning Love,B,637,,,75,3,1998,M,,,,,,
295,Abba,Lay All Your Love On Me,B,NE,,,75,3,1998,Group,,,,,,
296,Bob Marley,"No Woman, No Cry",B,164,,,75,3,1998,M,,,,,,
297,Beatles,Yesterday,B,NE,,,75,3,1999,M,,,,,,
298,Michael Jackson,Thriller,B,203,,,75,3,1999,M,,,,,,
299,Shania Twain,You're Still The One,B,204,,,75,3,2000,M,,,,,,25/04/2026 08:58
300,Elton John,Circle Of Life,B,1922,,,75,3,2000,M,,,,,,
301,Lionel Richie,Stuck On You,B,1943,,,50,3,2001,M,,,,,,
302,Bruce Springsteen,Born To Run,B,341,,,50,3,2001,M,,,,,,
303,Elvis Presley,Viva Las Vegas,B,NE,,,50,3,2002,M,,,,,,
304,Neil Diamond,Love On The Rocks,B,2004,,,50,3,2003,M,,,,,,
305,Sade,Smooth Operator,B,344,,,50,3,2003,M,,,,,,
306,Carpenters,We've Only Just Begun,B,NE,,,50,3,2003,M,,,,,,
307,Creedence Clearwater Revival,Have You Ever Seen The Rain?,B,687,,,50,3,2004,M,,,,,,
308,Fleetwood Mac,Go Your Own Way,B,88,,,50,4,2004,Group,,,,,,
309,BJ Thomas,Raindrops Keep Falling On My Head,B,NE,,,50,3,2005,M,,,,,,24/04/2026 23:57
310,Luther Vandross,Never Too Much,B,263,,,50,3,2006,M,,,,,,
311,Fleetwood Mac,Rhiannon,B,1087,,,50,3,2008,Group,,,,,,
312,Vera Lynn,White Cliffs Of Dover,B,49,,,50,3,2008,M,,,,,,
313,Beatles,In My Life,B,NE,,,50,3,2008,M,,,,,,
314,Eagles,Take It Easy,B,NE,,,50,3,2011,M,,,,,,
315,Beatles,While My Guitar Gently Weeps,B,NE,,,50,3,2011,M,,,,,,
316,Beatles,Norwegian Wood,B,NE,,,50,3,2012,M,,,,,,
317,Dolly Parton,Coat Of Many Colours,B,364,,,50,3,2012,F,,,,,,
318,Beatles,Michelle,B,NE,,,50,3,2013,M,,,,,,
319,Bob Marley,Jamming,B,175,,,50,3,2014,M,,,,,,
320,Noah Khan,Stick Season,B,NE,,,50,3,2014,M,,,,,,
321,Black Eyed Peas,I Gotta Feeling,B,179,,,50,3,2014,M,,,,,,
322,Ed Sheeran,Shape Of You,B,91,,,50,3,2015,M,,,,,,
323,John Lennon,Imagine,B,180,,,50,3,2016,M,,,,,,
324,Elton John,Candle In The Wind,B,274,,,50,3,2017,M,,,,,,24/04/2026 23:36
325,Fleetwood Mac,Albatross,B,142,,,50,3,2017,Group,,,,,,
326,Michael Jackson,Billie Jean,B,144,,,50,4,2018,M,,,,,,
327,Bruno Mars,Grenade,B,755,,,50,3,1976,M,,,,,,
328,Diana Ross,Chain Reaction,B,225,,,50,3,1942,F,,,,,,
329,Beyonce,Texas Hold 'em,B,296,,,50,3,1965,M,,,,,,
330,Beatles,Can't Buy Me Love,B,NE,,,50,3,1972,M,,,,,,
331,Whitney Houston,Saving All My Love For You,B,788,,,50,3,1968,F,,,,,,24/04/2026 22:49
332,Tommy Steele,Singing The Blues,B,NE,,,50,3,1965,M,,,,,,
333,Ronan Keating,Life Is A Rollercoaster,B,NE,,,50,3,1971,M,,,,,,24/04/2026 22:49
334,David Bowie,Let's Dance,B,188,,,50,3,1965,M,,,,,,
335,Rod Stewart,Baby Jane,B,293,,,50,3,1977,M,,,,,,
336,Detroit Spinners,Working My Way Back To You,B,NE,,,50,3,2024,M,,,,,,25/04/2026 00:23
337,Kinks,Sunny Afternoon,B,NE,,,50,3,2009,M,,,,,,
338,T. Rex,Get It On,B,541,,,50,3,2017,M,,,,,,24/04/2026 23:04
339,Wham!,I'm Your Man,B,1404,,,50,3,1971,M,,,,,,
340,Pink Floyd,Another Brick In The Wall,B,401,,,50,3,1973,Group,,,,,,
341,David Bowie,Dancing In The Street,B,NE,,,50,3,1968,M,,,,,,
342,Jam,Town Called Malice,B,NE,,,50,3,1983,M,,,,,,
343,Phil Collins,In The Air Tonight,B,153,,,50,3,2010,M,,,,,,
344,Ed Sheeran,Galway Girl,B,191,,,50,3,1986,M,,,,,,
345,Cyndi Lauper,Girls Just Wanna Have Fun,B,564,,,50,3,2024,F,,,,,,
346,Michael Jackson,Man In The Mirror,B,566,,,50,3,1964,M,,,,,,
347,Candi Staton,Young Hearts Run Free,B,130,,,50,3,1970,M,,,,,,
348,Freddie Mercury,Barcelona,B,NE,,,50,3,1972,M,,,,,,24/04/2026 23:23
349,Foundations,Build Me Up Buttercup,B,83,,,50,3,1976,M,,,,,,
350,Beatles,Strawberry Fields Forever,B,NE,,,50,3,1969,M,,,,,,
351,Beach Boys,Sloop John B,C,856,,,50,3,1969,M,,,,,,25/04/2026 07:39
352,Nat King Cole,Smile,C,238,,,50,3,1979,M,,,,,,
353,Stylistics,You Make Me Feel Brand New,C,NE,,,50,3,1978,M,,,,,,
354,Billy Ocean,Love Really Hurts Without You,C,NE,,,50,3,1978,M,,,,,,25/04/2026 07:41
355,Abba,Chiquittita,C,NE,,,50,3,2002,Group,,,,,,
356,Queen,Radio Gaga,C,1554,,,50,3,2004,Group,,,,,,25/04/2026 07:44
357,Bruno Mars,Locked Out Of Heaven,C,875,,,50,3,1981,M,,,,,,
358,Ed Sheeran,The A Team,C,578,,,50,3,2002,M,,,,,,25/04/2026 09:05
359,Neil Diamond,Cracklin' Rosie,C,1588,,,50,3,1988,M,,,,,,
360,Isley Brothers,This Old Heart Of Mine (is Weak For You),C,NE,,,50,3,1985,M,,,,,,
361,Cyndi Lauper,Time After Time,C,241,,,50,3,1984,F,,,,,,25/04/2026 09:18
362,Tina Turner,What's Love Got To Do With It,C,424,,,50,3,1978,F,,,,,,
363,Mamas & The Papas,Monday Monday,C,NE,,,50,3,1979,Group,,,,,,25/04/2026 07:56
364,Abba,Gimme Gimme Gimme,C,902,,,50,3,1981,Group,,,,,,25/04/2026 08:29
365,Tina Turner,We Don't Need Another Hero,C,NE,,,50,3,1983,F,,,,,,25/04/2026 08:22
366,Whitney Houston,I Have Nothing,C,158,,,50,3,1983,F,,,,,,
367,Abba,One Of Us,C,597,,,50,3,1984,Group,,,,,,
368,Toto,Africa,C,132,,,50,3,1984,Group,,,,,,25/04/2026 08:09
369,Roy Orbison,You Got It,C,425,,,50,3,1985,M,,,,,,25/04/2026 07:39
370,Animals,Don't Let Me Be Misunderstood,C,NE,,,50,3,1986,M,,,,,,
371,Sam Fender,People Watching,C,NE,,,50,3,1986,M,,,,,,
372,Matt Monro,Walk Away,C,1651,,,50,3,1987,M,,,,,,25/04/2026 07:45
373,Johnny Mathis,A Certain Smile,C,117,,,50,3,1987,M,,,,,,25/04/2026 07:41
374,Aretha Franklin,I Say A Little Prayer,C,922,,,50,3,1989,F,,,,,,25/04/2026 07:46
375,Guns N' Roses,November Rain,C,1673,,,50,3,1990,Group,,,,,,25/04/2026 08:52
376,T'pau,Heart And Soul,C,NE,,,50,3,1991,M,,,,,,25/04/2026 09:18
377,Monkees,Daydream Believer,C,NE,,,50,3,1991,M,,,,,,
378,Snow Patrol,Run,C,943,,,50,3,1992,M,,,,,,25/04/2026 09:25
379,Andrew Gold,Never Let Her Slip Away,C,1719,,,50,3,1992,M,,,,,,24/04/2026 23:45
380,Madness,Our House,C,160,,,50,3,1993,M,,,,,,25/04/2026 07:39
381,Kate Bush,Babooshka,C,1735,,,50,3,1994,M,,,,,,25/04/2026 00:03
382,Abba,Summer Night City,C,954,,,50,3,1994,Group,,,,,,24/04/2026 22:49
383,Snow Patrol,Chasing Cars,C,958,,,50,3,1996,M,,,,,,25/04/2026 08:25
384,Guns N' Roses,Paradise City,C,NE,,,50,3,1996,Group,,,,,,25/04/2026 07:59
385,Amy Winehouse,Rehab,C,444,,,50,3,1997,M,,,,,,
386,Beach Boys,I Get Around,C,1805,,,50,3,1998,M,,,,,,25/04/2026 08:27
387,Queen,You're My Best Friend,C,1817,,,50,3,1998,Group,,,,,,25/04/2026 07:32
388,Bob Marley,Is This Love?,C,NE,,,50,3,1998,M,,,,,,
389,Queen,Seven Seas Of Rhye,C,1907,,,50,3,1999,Group,,,,,,25/04/2026 07:42
390,Adele,Set Fire To The Rain,C,653,,,50,3,2000,F,,,,,,
391,Dean Martin,Everybody Loves Somebody,C,656,,,50,3,2000,M,,,,,,25/04/2026 07:46
392,Aerosmith,Pink,C,NE,,,50,3,2001,Group,,,,,,25/04/2026 08:42
393,Jeff Beck,Hi-ho Silver Lining,C,1973,,,50,3,2001,M,,,,,,
394,Cranberries,Linger,C,NE,,,50,3,2001,M,,,,,,25/04/2026 07:39
395,Bill Withers,Lean On Me,C,342,,,50,3,2002,M,,,,,,25/04/2026 08:02
396,REM,Losing My Religion,C,120,,,50,3,2003,Group,,,,,,
397,Matt Monro,From Russia With Love,C,NE,,,50,3,2004,M,,,,,,
398,Eagles,Lyin' Eyes,C,NE,,,50,3,2004,M,,,,,,25/04/2026 08:45
399,Queen,Who Wants To Live Forever,C,470,,,50,3,2004,Group,,,,,,
400,Elvis Presley,Loving You,C,NE,,,50,3,2006,M,,,,,,
401,Buddy Holly,True Love Ways,C,2075,,,50,3,2006,M,,,,,,
402,Clash,Rock The Casbah,C,NE,,,50,3,2008,M,,,,,,25/04/2026 07:44
403,Deacon Blue,Dignity,C,351,,,50,3,2008,M,,,,,,25/04/2026 07:44
404,Fleetwood Mac,Don't Stop,C,1077,,,50,3,2008,Group,,,,,,24/04/2026 22:49
405,Luther Vandross,So Amazing,C,2107,,,50,3,2009,M,,,,,,25/04/2026 07:39
406,Proclaimers,Sunshine On Leith,C,NE,,,50,3,2010,M,,,,,,25/04/2026 07:44
407,Mario Lanza,Be My Love,C,177,,,50,3,2011,M,,,,,,25/04/2026 08:12
408,Rolling Stones,Gimme Shelter,C,NE,,,50,3,2011,M,,,,,,
409,Dusty Springfield,The Look Of Love,C,2377,,,50,3,2012,M,,,,,,25/04/2026 07:42
410,Bach,Ave Maria,C,NE,,,50,3,2012,M,,,,,,
411,Abba,Angel Eyes,C,NE,,,50,3,2013,Group,,,,,,
412,Shirley Bassey,This Is My Life,C,NE,,,50,3,2014,M,,,,,,25/04/2026 00:56
413,Beres Hammond,Rock Away,C,358,,,50,3,2014,M,,,,,,
414,Beres Hammond,One Dance,C,NE,,,50,3,2014,M,,,,,,24/04/2026 23:32
415,Little Big Town,Fine Line,C,NE,,,50,3,2014,M,,,,,,24/04/2026 23:17
416,Alan Jackson & Jimmy Buffet,It's Five O’clock Somewhere,C,NE,,,50,3,2015,Group,,,,,,25/04/2026 00:43
417,George Ezra,Shotgun,C,222,,,50,3,2015,M,,,,,,25/04/2026 07:46
418,Rihanna,Umbrella,C,NE,,,50,3,2017,M,,,,,,25/04/2026 07:42
419,Righteous Brothers,You've Lost That Lovin' Feelin',C,NE,,,50,3,1741,M,,,,,,25/04/2026 07:41
420,Procol Harum,Whiter Shade Of Pale,C,516,,,50,3,1966,M,,,,,,24/04/2026 22:49
421,Gary Numan,Cars,C,759,,,50,3,1968,M,,,,,,
422,Everly Brothers,All I Have To Do Is Dream,C,520,,,50,3,1964,M,,,,,,
423,Elvis Presley,Crying In The Chapel,C,NE,,,50,3,1971,M,,,,,,25/04/2026 08:16
424,Scott McKenzie,San Francisco,C,NE,,,50,3,1987,M,,,,,,25/04/2026 09:06
425,Billy Joel,Uptown Girl,C,381,,,50,3,1978,M,,,,,,25/04/2026 08:53
426,Cilla Black,Anyone Who Had A Heart,C,526,,,50,3,1859,M,,,,,,
427,Beatles,Paperback Writer,C,NE,,,50,3,1984,M,,,,,,25/04/2026 07:59
428,Pet Shop Boys,West End Girls,C,389,,,50,3,1991,M,,,,,,
429,Sinead O'Connor,Nothing Compares To You,C,530,,,50,3,1981,M,,,,,,25/04/2026 07:46
430,T'Pau,China In Your Hand,C,1344,,,50,3,1988,M,,,,,,
431,Wham!,Freedom,C,538,,,50,3,1942,M,,,,,,25/04/2026 08:59
432,Commodores,Three Times A Lady,C,NE,,,50,3,1986,M,,,,,,24/04/2026 23:03
433,Beatles,I Feel Fine,C,NE,,,50,3,1982,M,,,,,,25/04/2026 09:19
434,Cliff Richard,Congratulations,C,189,,,50,3,1992,M,,,,,,25/04/2026 08:39
435,Westlife,World Of Our Own,C,NE,,,50,3,1965,M,,,,,,25/04/2026 08:14
436,Kate Bush,Wuthering Heights,C,817,,,50,3,1984,M,,,,,,25/04/2026 08:40
437,10cc,Dreadlock Holiday,C,1378,,,50,3,1955,M,,,,,,25/04/2026 08:52
438,Phil Collins,Easy Lover,C,1408,,,50,3,1992,M,,,,,,25/04/2026 08:38
439,Love Affair,Everlasting Love,C,54,,,50,3,1988,M,,,,,,25/04/2026 07:42
440,David Bowie,Ashes To Ashes,C,1436,,,50,3,2002,M,,,,,,25/04/2026 00:16
441,Adele,Rolling In The Deep,C,152,,,50,3,1981,F,,,,,,25/04/2026 07:42
442,Mariah Carey,All I Want For Christmas Is You,C,66,,,50,3,1988,M,,,,,,25/04/2026 09:05
443,Adele,Skyfall,C,846,,,50,3,1981,F,,,,,,25/04/2026 07:39
444,Nat King Cole,When I Fall In Love,C,71,,,50,3,1971,M,,,,,,25/04/2026 08:38
445,Coldplay,Speed Of Sound,C,NE,,,50,3,1986,Group,,,,,,25/04/2026 09:12
446,Lionel Richie,All Night Long,C,410,,,50,3,1971,M,,,,,,25/04/2026 07:39
447,Beach Boys,God Only Knows,C,572,,,50,3,1969,M,,,,,,25/04/2026 07:41
448,Phil Collins,Against All Odds,C,860,,,50,3,1984,M,,,,,,
449,George Michael,Faith,C,193,,,50,4,1992,M,,,,,,
450,Queen,Killer Queen,C,870,,,50,3,1982,Group,,,,,,
451,Mike & The Mechanics,The Living Years,C,194,,,20,3,1992,Group,,,,,,
452,M People,Moving On Up,C,576,,,20,3,1975,M,,,,,,
453,Spandau Ballet,Gold,C,1550,,,20,3,1981,M,,,,,,24/04/2026 23:43
454,*nsync,Bye Bye Bye,C,557,,,20,3,2008,M,,,,,,
455,Elvis Presley,(Let Me Be Your) Teddy Bear,C,1577,,,20,3,1986,M,,,,,,
456,Madness,Baggy Trousers,C,NE,,,20,3,2003,M,,,,,,
457,"Earth, Wind & Fire",September,C,115,,,20,3,1981,Group,,,,,,
458,Louis Armstrong,We Have All The Time In The World,C,1612,,,20,3,1968,M,,,,,,
459,Proclaimers,Letter From America,C,NE,,,20,3,1972,M,,,,,,24/04/2026 23:05
460,Cars,Drive,C,NE,,,20,3,2002,M,,,,,,
461,Dusty Springfield,I Only Want To Be With You,C,429,,,20,3,1984,M,,,,,,
462,Gene Pitney,Twenty Four Hours From Tulsa,C,939,,,20,3,1982,M,,,,,,
463,Mary Wells,My Guy,C,1713,,,20,3,1992,M,,,,,,
464,Bruce Springsteen,Born In The USA,C,1728,,,20,3,1982,M,,,,,,
465,Stereophonics,Have A Nice Day,C,NE,,,20,3,1987,M,,,,,,
466,Bob Marley,Iron Lion Zion,C,NE,,,20,3,2003,M,,,,,,
467,Guns N' Roses,Live and Let Die,C,NE,,,20,3,1989,Group,,,,,,
468,Billy Ocean,Caribbean Queen (No More Love On The Run),C,NE,,,20,3,2008,M,,,,,,
469,Tina Turner,Let's Stay Together,C,968,,,20,3,2011,F,,,,,,
470,Elvis Presley,Moody Blue,C,NE,,,20,3,1972,M,,,,,,24/04/2026 23:19
471,Brenda Lee,Rockin' Around The Christmas Tree,C,200,,,20,3,1967,M,,,,,,25/04/2026 00:30
472,Metallica,Nothing Else Matters,C,628,,,20,3,2012,M,,,,,,24/04/2026 23:37
473,Queen,One Vision,C,NE,,,20,3,1971,Group,,,,,,24/04/2026 22:49
474,Carpenters,Only Yesterday,C,NE,,,20,3,1969,M,,,,,,
475,U2,One,C,NE,,,20,3,1987,Group,,,,,,24/04/2026 23:30
476,Rolling Stones,Start Me Up,C,331,,,20,3,1991,M,,,,,,
477,Michael Jackson,Smooth Criminal,C,450,,,20,3,1994,M,,,,,,
478,Heart,These Dreams,C,NE,,,20,3,1968,M,,,,,,
479,Elvis Presley,American Trilogy,C,252,,,20,3,2005,M,,,,,,
480,Whitney Houston,Greatest Love Of All,C,1843,,,20,3,1982,F,,,,,,
481,Electric Light Orchestra,The Diary Of Horace Wimp,C,1859,,,20,3,1979,Group,,,,,,
482,Annie Lennox,Walking On Broken Glass,C,1861,,,20,3,1992,M,,,,,,
483,Mamas & The Papas,California Dreamin',C,333,,,20,3,1965,Group,,,,,,
484,Elvis Presley,Suspicion,C,1877,,,20,3,1964,M,,,,,,
485,Elvis Presley,Blue Moon,C,1004,,,20,3,1956,M,,,,,,
486,Simply Red,For Your Babies,C,1893,,,20,3,1992,Group,,,,,,
487,Coldplay,Clocks,C,648,,,20,3,2003,Group,,,,,,
488,Chris Rea,Road To Hell,C,1017,,,20,3,1989,M,,,,,,
489,Jason Mraz,I'm Yours,C,NE,,,20,3,2008,M,,,,,,
490,Christina Perri,A Thousand Years,C,459,,,20,3,2011,M,,,,,,
491,Stevie Wonder,Superstition,C,59,,,20,3,1972,M,,,,,,
492,Turtles,Happy Together,C,NE,,,20,3,1967,M,,,,,,
493,Jason Mraz,I Won't Give Up,C,NE,,,20,3,2012,M,,,,,,
494,Tom Jones,She's A Lady,C,464,,,20,3,1971,M,,,,,,
495,Glen Campbell,Galveston,C,1978,,,20,3,1969,M,,,,,,24/04/2026 23:24
496,Whitney Houston,Didn't We Almost Have It All,C,1984,,,20,3,1987,F,,,,,,
497,Cranberries,Zombie,C,NE,,,20,3,1994,M,,,,,,
498,Rolling Stones,Sympathy For The Devil,C,1986,,,20,3,1968,M,,,,,,
499,Jack Johnson,Better Together,C,NE,,,20,3,2005,M,,,,,,
500,Abba,The Day Before You Came,C,1076,,,20,3,1982,Group,,,,,,
